msrp,trading_partner_cn,trading_partner_hk,trading_partner_other_countries,trading_partner_sg,trading_partner_tr,line_count,seized
3898.05,1,0,0,0,0,277,1.0
15.0,0,1,0,0,0,10,1.0
8400.0,0,0,0,0,1,25,1.0
299000.0,0,1,0,0,0,1,1.0
815.0,0,1,0,0,0,7,1.0
450.0,1,0,0,0,0,1,1.0
1820.0,1,0,0,0,0,8,1.0
41700.0,1,0,0,0,0,6,1.0
3750.0,0,0,1,0,0,1,1.0
695.0,1,0,0,0,0,5,1.0
12920.0,1,0,0,0,0,4,1.0
1290.0,0,1,0,0,0,13,1.0
350.0,0,1,0,0,0,5,1.0
60.0,0,0,1,0,0,8,1.0
3520.0,0,0,1,0,0,6,1.0
3150.0,0,0,1,0,0,2,1.0
1190.0,0,0,0,0,1,27,1.0
131000.0,0,1,0,0,0,2,1.0
395.0,0,1,0,0,0,8,1.0
12700.0,0,1,0,0,0,6,1.0
1075205.0,1,0,0,0,0,86,1.0
89880.03,1,0,0,0,0,40,1.0
780.0,0,1,0,0,0,5,1.0
1361.4,0,1,0,0,0,47,1.0
1320.0,0,1,0,0,0,5,1.0
100.0,0,0,1,0,0,3,1.0
125.0,0,0,1,0,0,6,1.0
20000.0,1,0,0,0,0,22,1.0
650.0,1,0,0,0,0,6,1.0
3432.0,1,0,0,0,0,2,1.0
1050.0,0,0,1,0,0,740,1.0
220.0,1,0,0,0,0,12,1.0
14300.0,0,1,0,0,0,3,1.0
3250.0,0,1,0,0,0,113,1.0
780.0,0,1,0,0,0,2,1.0
697.0,0,0,1,0,0,3,1.0
1090.0,1,0,0,0,0,6,1.0
89.5,0,0,0,0,1,72,1.0
1050.0,0,1,0,0,0,5,1.0
8500.0,1,0,0,0,0,1,1.0
1232.0,0,0,0,0,0,1,1.0
1780.0,0,0,1,0,0,13,1.0
359.97,0,0,1,0,0,7,1.0
33150.0,1,0,0,0,0,22,1.0
55.0,0,0,1,0,0,34,1.0
8950.0,1,0,0,0,0,1,1.0
9000.0,0,1,0,0,0,5,1.0
695.0,0,1,0,0,0,5,1.0
649.0,0,1,0,0,0,2,1.0
29700.0,0,0,0,0,1,146,1.0
765.0,0,1,0,0,0,3,1.0
12660.0,1,0,0,0,0,36,1.0
3200.0,0,0,1,0,0,4,1.0
1995.0,1,0,0,0,0,1,1.0
55.0,1,0,0,0,0,3,1.0
100.0,0,0,1,0,0,1,1.0
5400.0,0,1,0,0,0,207,1.0
1600.0,0,0,1,0,0,13,1.0
35.0,0,0,1,0,0,18,1.0
5500.0,1,0,0,0,0,1,1.0
20.0,0,0,1,0,0,24,1.0
23000.0,1,0,0,0,0,10,1.0
595.0,0,1,0,0,0,7,1.0
1630.0,0,0,1,0,0,17,1.0
395.0,0,0,1,0,0,20,1.0
1719.0,0,1,0,0,0,2,1.0
1400.0,0,0,1,0,0,32,1.0
7186.0,1,0,0,0,0,8,1.0
875.0,0,1,0,0,0,1,1.0
777.0,0,0,0,1,0,2,1.0
1320.0,0,0,0,0,1,28,1.0
36480.0,1,0,0,0,0,250,1.0
213.0,0,1,0,0,0,17,1.0
645.0,0,0,0,0,1,3,1.0
990.0,0,0,1,0,0,11,1.0
7000.0,0,1,0,0,0,7,1.0
4900.0,0,0,1,0,0,6,1.0
78.0,0,0,1,0,0,42,1.0
5885.0,0,1,0,0,0,18,1.0
